Язык	ISO 639-1	ISO 639-2	кириллицей	цифровой код
абхазский	ab	abk	аба	005
африкаанс	af	afr		
албанский	sq	alb/sqi	алб	030
церковнославянский	cu	chu	цер	777
амхарский	am	amh	амх	040
арабский	ar	ara	ара	050
армянский	hy	hye/arm	арм	055
азербайджанский	az	aze	азе	025
авестийский	ae	ave	аве	016
ново-аварский	av	ava	ава	014
аймара	ay	aym	айм	026
бамбара	bm	bam		
башкирский	ba	bak	баш	086
баскский	eu	eus/baq	бак	086
бенгали	bn	ben		
боснийский	bs	bos		
бретонский	br	bre		
болгарский	bg	bul	бол	115
бирманский	my	mya/bur		
бурятский		bua	бур	125
китайский	zh	zho/chi	кит	315
кри	cr	cre	кри	343
датский	da	dan	дат	178
немецкий	de	deu/ger	нем	481
английский	en	eng	анг	045
эсперанто	eo	epo	эсп	845
эстонский	et	est	эст	850
эве	ee	ewe		
фарерский	fo	fao		
фиджи	fj	fij		
финский	fi	fin	фин	740
французский	fr	fra/fre	фра	745
фризский	fy	fry	фри	750
шотландский	gd	gla	гэл	170
грузинский	ka	kat/geo	гру	158
греческий	el	ell/gre	гре	157
гуарани	gn	grn		
гуджарати	gu	guj	гуд	165
гаитянский	ht	hat		
хауса	ha	hau	хуа	761
иврит	he	heb	ивр	198
гереро	hz	her	гер	149
хинди	hi	hin	хин	770
ибо/игбо	ig	ibo	ибо	199
идо	io	ido		
индонезийский	id	ind	инд	210
интерлингва	ia	ina	ина	215
окциденталь	ie	ile		
инуктитут	iu	iku	инк	217
ирландский	ga	gle	ирл	220
зулу	zu	zul	зул	195
исландский	is	isl/ice	исл	225
итальянский	it	ita	ита	235
японский	ja	jpn	япо	870
яванский	jv	jav	ява	860
идиш	yi	yid	иди	202
гренландский	kl	kal	эсм	843
каннада	kn	kan	кан	265
канури	kr	kau		
казахский	kk	kaz	каз	255
кашмири	ks	kas	каш	
каталанский	ca	cat	кат	
кхмер	km	khm		
киргизский	ky	kir		
кирунди/рунди	rn	run	кир/кыр	305
коми	kv	kom	кои	320
корейский	ko	kor	коо	330
корсиканский	co	cos	кос	334
хорватский	hr	hrv/scr		
курдский	ku	kur	кур	350
лаосский	lo	lao	лао	375
латинский	la	lat	лат	380
латышский	lv	lav	лаш	385
лингала	ln	lin	лин	395
литовский	lt	lit	лит	400
люксембургский	lb	ltz	люк	409
мадагаскарский	mg	mlg	млг	418
малайский	ms	msa/may	маз	420
малаялам	ml	mal	мал	425
мальтийский	mt	mlt	млт	430
мэнский	gv	glv		
маори	mi	mri/mao		
маратхи	mr	mar	мар	440
македонский	mk	mkd/mac	маа	415
молдавский	mo	mol	мол	460
монгольский	mn	mon	мои	465
науру	na	nau	нау	475
навахо	nv	nav	нав	470
непальский	ne	nep	неп	485
нидерландский	nl	nld/dut	нид	495
норвежский	no	nor		
ория	or	ori	ори	520
осетинский	os	oss	ост	524
персидский (фарси)	fa	fas/per		
польский	pl	pol	пол	540
португальский	pt	por	пор	545
панджаби	pa	pan
кечуа	qu	que		
ретороманский	rm	roh	рет	560
румынский	ro	ron/rum	рум	565
русский	ru	rus	рус	570
санго	sg	sag	саг	579
санскрит	sa	san	сан	581
сардинский	sc	srd		
шведский	sv	swe		
сербский	sr	srp/scc		
словацкий	sk	slk/slo	сло	605
словенский	sl	slv	слв	610
сомали	so	som	сом	615
испанский	es	spa	исп	230
суахили	sw	swa		
таджикский	tg	tgk	тад	640
татарский	tt	tat	тар	660
телугу	te	tel		
таиландский	th	tha		
тибетский	bo	bod/tib		
тигринья	ti	tir		
чешский	cs	ces/cze	чеш	790
чеченский	ce	che	чеч	785
чувашский	cv	chv	чув	795
турецкий	tr	tur	тур	693
туркменский	tk	tuk	тук	695
уйгурский	ug	uig	уйг	715
украинский	uk	ukr	укр	720
венгерский	hu	hun	вен	133
урду	ur	urd		
узбекский	uz	uzb	узб	710
вьетнамский	vi	vie	вье	140
валлийский	cy	cym/wel	вал	130
валлонский	wa	wln		
белорусский	be	bel	бел	090
волоф	wo	wol	воф	138
йоруба	yo	yor
